Customer_id,Gender,Age,sales_date,sales_time,store_id,item_code,sales_amount,sales_quantity
1,M,29,1/1/2021,02:27:57,4234,100002,23.36,1
2,F,34,1/1/2021,15:05:54,4234,100002,23.36,1
3,M,8,1/1/2021,09:26:37,4446,100002,23.36,1
4,M,24,1/1/2021,03:17:12,8653,100002,26.17,1
5,M,14,1/1/2021,16:23:17,8653,100002,26.17,1
6,F,18,3/1/2021,12:26:20,2512,100002,23.36,1
7,F,54,3/1/2021,17:41:46,4234,100002,23.36,1
8,F,27,3/1/2021,10:18:47,8653,100002,26.17,1
9,M,60,3/1/2021,15:36:12,8653,100002,26.17,1
10,M,46,4/1/2021,07:54:50,4446,100002,23.36,1
11,F,65,4/1/2021,10:30:02,8653,100002,26.17,1
12,F,65,4/1/2021,22:23:11,8653,100002,26.17,1
13,F,4,4/1/2021,23:59:25,8653,100002,26.17,1
14,M,40,5/1/2021,21:46:57,4234,100002,23.36,1
15,F,10,5/1/2021,16:29:34,8653,100002,26.17,1
16,F,40,5/1/2021,18:35:16,8653,100002,26.17,1
17,M,60,6/1/2021,10:07:23,4446,100002,23.36,1
18,M,17,6/1/2021,11:35:59,4446,100002,23.36,1
19,F,40,6/1/2021,03:00:10,8653,100002,26.17,1
20,M,4,7/1/2021,07:32:50,4234,100002,23.36,1
21,F,47,7/1/2021,22:35:00,4234,100002,23.36,1
22,M,64,8/1/2021,18:24:09,4234,100002,23.36,1
23,F,53,8/1/2021,01:54:00,8653,100002,26.17,1
24,M,44,8/1/2021,11:53:13,8653,100002,26.17,1
25,M,45,8/1/2021,22:45:19,8653,100002,26.17,1
26,M,46,8/1/2021,23:28:16,8653,100002,26.17,1
27,F,34,9/1/2021,16:50:14,8653,100002,26.17,1
28,M,25,9/1/2021,21:43:22,8653,100002,26.17,1
29,M,5,10/1/2021,19:31:57,4234,100002,23.36,1
30,M,30,10/1/2021,21:34:51,4234,100002,23.36,1
31,M,36,10/1/2021,18:57:07,4446,100002,23.36,1
32,M,35,10/1/2021,00:59:25,8653,100002,26.17,1
33,M,27,11/1/2021,12:42:04,2512,100002,23.36,1
34,M,45,11/1/2021,01:53:01,8653,100002,26.17,1
35,F,40,11/1/2021,13:46:00,8653,100002,26.17,1
36,F,41,11/1/2021,21:57:54,8653,100002,26.17,1
37,F,40,12/1/2021,20:11:51,4446,100002,23.36,1
38,F,64,12/1/2021,00:39:54,8653,100002,26.17,1
39,F,43,12/1/2021,01:09:09,8653,100002,26.17,1
40,M,5,12/1/2021,02:46:56,8653,100002,26.17,1
41,F,65,12/1/2021,08:54:28,8653,100002,26.17,1
42,F,61,12/1/2021,09:29:59,8653,100002,26.17,1
43,M,71,12/1/2021,09:57:19,8653,100002,26.17,1
44,M,9,12/1/2021,17:32:16,8653,100002,26.17,1
45,M,47,13/1/2021,18:02:19,4446,100002,23.36,1
46,M,6,14/1/2021,06:17:18,4234,100002,23.36,1
47,M,21,14/1/2021,08:19:16,4446,100002,23.36,1
48,M,22,14/1/2021,08:33:44,4446,100002,23.36,1
49,M,52,14/1/2021,10:38:18,4446,100002,23.36,1
50,M,17,14/1/2021,21:39:24,4446,100002,23.36,1
51,M,66,14/1/2021,20:49:19,8653,100002,26.17,1
52,M,72,15/1/2021,08:25:11,4446,100002,23.36,1
53,M,44,15/1/2021,04:17:20,8653,100002,26.17,1
54,M,16,15/1/2021,23:32:58,8653,100002,26.17,1
55,F,59,16/1/2021,22:05:33,4234,100002,23.36,1
56,M,24,16/1/2021,11:57:50,4446,100002,23.36,1
57,F,41,4/2/2021,06:41:42,4446,100002,23.36,1
58,F,48,4/2/2021,10:00:35,8653,100002,26.17,1
59,F,20,4/2/2021,18:01:50,8653,100002,26.17,1
60,M,27,4/2/2021,23:08:39,8653,100002,26.17,1
61,M,19,5/2/2021,18:29:54,4234,100002,23.36,1
62,F,59,5/2/2021,02:54:48,8653,100002,26.17,1
63,M,50,5/2/2021,08:48:17,8653,100002,26.17,1
64,M,38,7/2/2021,22:19:54,8653,100002,26.17,1
65,F,26,8/2/2021,08:01:31,4234,100002,23.36,1
66,M,37,8/2/2021,09:23:28,4234,100002,23.36,1
67,F,26,8/2/2021,10:56:50,8653,100002,26.17,1
68,F,33,10/2/2021,16:41:34,4234,100002,23.36,1
69,F,24,11/2/2021,14:16:10,4234,100002,23.36,1
70,M,53,11/2/2021,09:28:15,4446,100002,23.36,1
71,M,47,11/2/2021,20:54:27,4446,100002,23.36,1
72,M,45,11/2/2021,08:19:18,8653,100002,26.17,1
73,M,35,11/2/2021,22:40:21,8653,100002,26.17,1
74,M,72,12/2/2021,06:06:24,4234,100002,23.36,1
75,M,10,12/2/2021,18:11:46,4234,100002,23.36,1
76,M,25,12/2/2021,08:40:16,8653,100002,26.17,1
77,F,14,13/2/2021,20:53:48,8653,100002,26.17,1
78,F,59,16/2/2021,21:43:50,8653,100002,26.17,1
79,F,47,17/2/2021,16:34:41,8653,100002,26.17,1
80,M,4,17/2/2021,18:01:32,8653,100002,26.17,1
81,F,23,17/2/2021,20:24:24,8653,100002,26.17,1
82,F,5,18/2/2021,08:02:35,8653,100002,26.17,1
83,M,17,19/2/2021,20:49:04,4234,100002,23.36,1
84,F,58,19/2/2021,20:51:32,4234,100002,23.36,1
85,F,48,20/2/2021,10:49:17,4446,100002,23.36,1
86,M,42,20/2/2021,21:41:33,4446,100002,23.36,1
87,F,60,21/2/2021,02:55:32,8653,100002,26.17,1
88,F,11,21/2/2021,19:34:37,8653,100002,26.17,1
89,F,4,21/2/2021,20:06:20,8653,100002,26.17,1
90,M,24,21/2/2021,22:39:45,8653,100002,26.17,1
91,F,35,23/2/2021,10:29:56,4234,100002,23.36,1
92,F,53,23/2/2021,19:12:28,8653,100002,26.17,1
93,F,5,24/2/2021,12:04:58,2512,100002,23.36,1
94,F,59,24/2/2021,00:22:38,4446,100002,23.36,1
95,M,35,24/2/2021,09:45:26,8653,100002,26.17,1
96,F,53,25/2/2021,05:44:55,4234,100002,23.36,1
97,M,61,25/2/2021,19:18:51,4234,100002,23.36,1
98,F,30,26/2/2021,06:58:06,4234,100002,23.36,1
99,F,56,26/2/2021,20:42:12,8653,100002,26.17,1
100,M,24,27/2/2021,05:39:22,4234,100002,23.36,1
101,F,69,27/2/2021,07:11:44,4446,100002,23.36,1
102,F,37,27/2/2021,08:24:44,8653,100002,26.17,1
103,F,67,28/2/2021,05:55:41,4234,100002,23.36,1
104,F,67,28/2/2021,11:26:56,4446,100002,23.36,1
105,F,20,5/1/2021,11:12:54,4446,100148,32.71,1
106,M,41,8/1/2021,05:49:07,2512,100148,32.71,1
107,M,53,10/1/2021,08:20:17,4446,100148,32.71,1
108,F,19,13/1/2021,09:44:01,4446,100148,32.71,1
109,M,22,26/1/2021,18:42:11,2512,100157,36.45,1
110,M,54,29/1/2021,02:47:54,4234,100157,36.45,1
111,M,51,29/1/2021,03:18:47,4446,100157,36.45,1
112,M,14,30/1/2021,18:10:51,2512,100157,36.45,1
113,M,47,31/1/2021,00:07:10,4234,100157,36.45,1
114,M,7,1/2/2021,01:17:19,4234,100157,36.45,1
115,F,54,3/2/2021,13:38:50,4234,100157,36.45,1
116,F,26,6/2/2021,20:31:02,2512,100157,36.45,1
117,M,73,7/2/2021,10:51:35,4234,100157,36.45,1
118,M,49,9/2/2021,16:33:38,4234,100157,36.45,1
119,F,38,10/2/2021,10:31:23,2512,100157,36.45,1
120,F,71,11/2/2021,20:16:34,4234,100157,36.45,1
121,F,64,12/2/2021,22:25:27,4234,100157,36.45,1
122,F,32,13/2/2021,12:55:47,4446,100157,36.45,1
123,F,9,17/2/2021,18:52:59,2512,100157,36.45,1
124,M,24,18/2/2021,02:11:44,4234,100157,36.45,1
125,M,14,20/2/2021,11:51:58,2512,100157,36.45,1
126,F,17,20/2/2021,01:57:33,4234,100157,36.45,1
127,M,27,21/2/2021,12:32:17,4446,100157,36.45,1
128,M,34,23/2/2021,17:57:57,4234,100157,36.45,1
129,M,4,1/1/2021,12:51:54,2512,200004,31.78,1
130,F,62,3/1/2021,19:24:04,2512,200004,31.78,1
131,F,58,4/1/2021,15:05:54,2512,200004,31.78,1
132,M,62,4/1/2021,00:18:49,4234,200004,31.78,1
133,M,59,4/1/2021,06:32:52,4446,200004,31.78,1
134,M,50,3/1/2021,19:49:04,2512,200078,14.95,1
135,M,16,3/1/2021,23:43:54,4234,200078,14.95,1
136,F,41,3/1/2021,01:50:54,8653,200078,16.82,1
137,F,71,3/1/2021,12:16:54,8653,200078,16.82,1
138,M,31,4/1/2021,05:11:38,2512,200078,14.95,1
139,F,11,4/1/2021,18:06:19,2512,200078,14.95,1
140,M,4,4/1/2021,18:55:59,2512,200078,14.95,1
141,M,5,4/1/2021,07:16:33,4446,200078,14.95,1
142,F,60,4/1/2021,08:07:26,4446,200078,14.95,1
143,F,14,4/1/2021,09:19:32,4446,200078,14.95,1
144,M,39,4/1/2021,23:25:22,4446,200078,14.95,1
145,M,24,4/1/2021,11:17:22,8653,200078,16.82,1
146,F,51,4/1/2021,12:53:13,8653,200078,16.82,1
147,M,43,5/1/2021,02:10:31,2512,200078,14.95,1
148,F,10,5/1/2021,07:40:30,2512,200078,14.95,1
149,F,49,5/1/2021,19:46:33,2512,200078,14.95,1
150,M,57,5/1/2021,20:11:47,2512,200078,14.95,1
151,F,68,5/1/2021,12:04:34,4234,200078,14.95,1
152,F,10,5/1/2021,14:13:26,4234,200078,14.95,1
153,M,63,5/1/2021,16:32:13,4234,200078,14.95,1
154,F,38,5/1/2021,19:24:51,4234,200078,14.95,1
155,F,53,5/1/2021,23:15:32,4234,200078,14.95,1
156,M,61,5/1/2021,23:26:49,4234,200078,14.95,1
157,M,59,5/1/2021,05:52:50,4446,200078,14.95,1
158,F,48,5/1/2021,18:13:53,4446,200078,14.95,1
159,F,18,5/1/2021,07:49:15,8653,200078,16.82,1
160,M,42,6/1/2021,06:26:04,2512,200078,14.95,1
161,M,45,6/1/2021,21:09:16,2512,200078,14.95,1
162,M,48,6/1/2021,02:01:53,4234,200078,14.95,1
163,M,59,6/1/2021,03:18:05,4234,200078,14.95,1
164,F,23,6/1/2021,10:24:37,4234,200078,14.95,1
165,M,21,6/1/2021,12:38:47,4446,200078,14.95,1
